id,original_title,GenList,vote_average,For Genre,vote_count,Scores
128,もののけ姫,"['Adventure', 'Fantasy', 'Animation']",8.2,Animation,2041.0,7.747267020276405
14160,Up,"['Animation', 'Comedy', 'Family', 'Adventure']",7.8,Animation,7048.0,7.673441041858341
10681,WALL·E,"['Animation', 'Family']",7.8,Animation,6439.0,7.662226956959713
177572,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",7.8,Animation,6289.0,7.6591530381056225
372058,君の名は。,"['Romance', 'Animation', 'Drama']",8.5,Animation,1030.0,7.645687073213185
862,Toy Story,"['Animation', 'Comedy', 'Family']",7.7,Animation,5415.0,7.545526735370851
269149,Zootopia,"['Animation', 'Adventure', 'Family', 'Comedy']",7.7,Animation,4961.0,7.532527502351085
8392,となりのトトロ,"['Fantasy', 'Animation', 'Family']",8.0,Animation,1730.0,7.52231325100929
12,Finding Nemo,"['Animation', 'Family']",7.6,Animation,6292.0,7.472121004338998
10193,Toy Story 3,"['Animation', 'Family', 'Comedy']",7.6,Animation,4710.0,7.432792744009352
12477,火垂るの墓,"['Animation', 'Drama', 'War']",8.2,Animation,974.0,7.404180309079619
585,"Monsters, Inc.","['Animation', 'Comedy', 'Family']",7.5,Animation,6150.0,7.375954719803175
82702,How to Train Your Dragon 2,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",7.6,Animation,3163.0,7.36088014322605
2062,Ratatouille,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.5,Animation,4510.0,7.3348070135890175
10191,How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",7.5,Animation,4319.0,7.328168709275006
137106,The Lego Movie,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.5,Animation,3127.0,7.270650344056193
9479,The Nightmare Before Christmas,"['Fantasy', 'Animation', 'Family']",7.6,Animation,2135.0,7.265194968931141
9806,The Incredibles,"['Action', 'Adventure', 'Animation', 'Family']",7.4,Animation,5290.0,7.26489969866948
10020,Beauty and the Beast,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",7.5,Animation,3029.0,7.264159940855936
10674,Mulan,"['Animation', 'Family', 'Adventure']",7.6,Animation,2089.0,7.259090715491123
812,Aladdin,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']",7.4,Animation,3495.0,7.203177876096744
38757,Tangled,"['Animation', 'Family']",7.4,Animation,3419.0,7.199295581412953
109445,Frozen,"['Animation', 'Adventure', 'Family']",7.3,Animation,5440.0,7.175738146949966
10386,The Iron Giant,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",7.6,Animation,1470.0,7.148259388226945
808,Shrek,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.3,Animation,4183.0,7.1419072720779955
863,Toy Story 2,"['Animation', 'Comedy', 'Family']",7.3,Animation,3914.0,7.132126466233695
140420,Paperman,"['Animation', 'Family', 'Romance']",8.0,Animation,734.0,7.114970783548035
277834,Moana,"['Adventure', 'Animation', 'Family']",7.3,Animation,3471.0,7.11308217034164
10515,天空の城ラピュタ,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family', 'Romance']",7.8,Animation,877.0,7.077716151932954
9323,GHOST IN THE SHELL,"['Action', 'Animation', 'Science Fiction']",7.8,Animation,854.0,7.064818226074614
313297,Kubo and the Two Strings,"['Animation', 'Adventure', 'Family']",7.7,Animation,982.0,7.061925053096119
149,アキラ,"['Science Fiction', 'Animation']",7.8,Animation,792.0,7.027639376169742
20352,Despicable Me,"['Animation', 'Family']",7.1,Animation,6595.0,7.008505601818765
